Date,Country,Rate
6/22/2000,Euro,1.0641
6/23/2000,Euro,1.0686
6/26/2000,Euro,1.0659
6/27/2000,Euro,1.0589
6/28/2000,Euro,1.0589
6/29/2000,Euro,1.051
6/30/2000,Euro,1.0477
7/3/2000,Euro,1.0498
7/4/2000,Euro,
7/5/2000,Euro,1.0473
7/6/2000,Euro,1.0496
7/7/2000,Euro,1.0544
7/10/2000,Euro,1.0503
7/11/2000,Euro,1.053
7/12/2000,Euro,1.0637
7/13/2000,Euro,1.0708
7/14/2000,Euro,1.0668
7/17/2000,Euro,1.0694
7/18/2000,Euro,1.0727
7/19/2000,Euro,1.0826
7/20/2000,Euro,1.0762
7/21/2000,Euro,1.0703
7/24/2000,Euro,1.0737
7/25/2000,Euro,1.0648
7/26/2000,Euro,1.0624
7/27/2000,Euro,1.0717
7/28/2000,Euro,1.0815
7/31/2000,Euro,1.0792
8/1/2000,Euro,1.0837
8/2/2000,Euro,1.0945
8/3/2000,Euro,1.106
8/4/2000,Euro,1.1019
8/7/2000,Euro,1.0983
8/8/2000,Euro,1.1088
8/9/2000,Euro,1.1122
8/10/2000,Euro,1.1017
8/11/2000,Euro,1.1055
8/14/2000,Euro,1.1066
8/15/2000,Euro,1.0947
8/16/2000,Euro,1.0937
8/17/2000,Euro,1.0927
8/18/2000,Euro,1.1028
8/21/2000,Euro,1.1078
8/22/2000,Euro,1.1154
8/23/2000,Euro,1.1152
8/24/2000,Euro,1.1077
8/25/2000,Euro,1.1082
8/28/2000,Euro,1.1109
8/29/2000,Euro,1.1153
8/30/2000,Euro,1.1206
8/31/2000,Euro,1.1264
9/1/2000,Euro,1.112
9/4/2000,Euro,
9/5/2000,Euro,1.1266
9/6/2000,Euro,1.1492
9/7/2000,Euro,1.1442
9/8/2000,Euro,1.1542
9/11/2000,Euro,1.1596
9/12/2000,Euro,1.1633
9/13/2000,Euro,1.1574
9/14/2000,Euro,1.1605
9/15/2000,Euro,1.1666
9/18/2000,Euro,1.1733
9/19/2000,Euro,1.1745
9/20/2000,Euro,1.1818
9/21/2000,Euro,1.1685
9/22/2000,Euro,1.1373
9/25/2000,Euro,1.1444
9/26/2000,Euro,1.1344
9/27/2000,Euro,1.1357
9/28/2000,Euro,1.133
9/29/2000,Euro,1.1316
10/2/2000,Euro,1.1356
10/3/2000,Euro,1.144
10/4/2000,Euro,1.146
10/5/2000,Euro,1.1514
10/6/2000,Euro,1.1521
10/9/2000,Euro,
10/10/2000,Euro,1.1518
10/11/2000,Euro,1.1474
10/12/2000,Euro,1.1569
10/13/2000,Euro,1.1671
10/16/2000,Euro,1.178
10/17/2000,Euro,1.1755
10/18/2000,Euro,1.1918
10/19/2000,Euro,1.1896
10/20/2000,Euro,1.1905
10/23/2000,Euro,1.1956
10/24/2000,Euro,1.1956
10/25/2000,Euro,1.2092
10/26/2000,Euro,1.209
10/27/2000,Euro,1.1896
10/30/2000,Euro,1.186
10/31/2000,Euro,1.1784
11/1/2000,Euro,1.165
11/2/2000,Euro,1.1636
11/3/2000,Euro,1.1609
11/6/2000,Euro,1.165
11/7/2000,Euro,1.1651
11/8/2000,Euro,1.1684
11/9/2000,Euro,1.1663
11/10/2000,Euro,1.1594
11/13/2000,Euro,1.1618
11/14/2000,Euro,1.1665
11/15/2000,Euro,1.1669
11/16/2000,Euro,1.1721
11/17/2000,Euro,1.1743
11/20/2000,Euro,1.1784
11/21/2000,Euro,1.1823
11/22/2000,Euro,1.1872
11/23/2000,Euro,
11/24/2000,Euro,1.193
11/27/2000,Euro,1.1765
11/28/2000,Euro,1.17
11/29/2000,Euro,1.1659
11/30/2000,Euro,1.1502
12/1/2000,Euro,1.1409
12/4/2000,Euro,1.1268
12/5/2000,Euro,1.1358
12/6/2000,Euro,1.1265
12/7/2000,Euro,1.1247
12/8/2000,Euro,1.1315
12/11/2000,Euro,1.1401
12/12/2000,Euro,1.1396
12/13/2000,Euro,1.1422
12/14/2000,Euro,1.1289
12/15/2000,Euro,1.1135
12/18/2000,Euro,1.1199
12/19/2000,Euro,1.1233
12/20/2000,Euro,1.104
12/21/2000,Euro,1.0975
12/22/2000,Euro,1.0834
12/25/2000,Euro,
12/26/2000,Euro,1.0762
12/27/2000,Euro,1.0748
12/28/2000,Euro,1.0803
12/29/2000,Euro,1.0652
1/1/2001,Euro,
1/2/2001,Euro,1.0565
1/3/2001,Euro,1.0556
1/4/2001,Euro,1.0584
1/5/2001,Euro,1.0488
1/8/2001,Euro,1.0542
1/9/2001,Euro,1.0642
1/10/2001,Euro,1.0653
1/11/2001,Euro,1.0504
1/12/2001,Euro,1.0542
1/15/2001,Euro,
1/16/2001,Euro,1.0668
1/17/2001,Euro,1.0746
1/18/2001,Euro,1.0586
1/19/2001,Euro,1.068
1/22/2001,Euro,1.0668
1/23/2001,Euro,1.0651
1/24/2001,Euro,1.0801
1/25/2001,Euro,1.0847
1/26/2001,Euro,1.0854
1/29/2001,Euro,1.0892
1/30/2001,Euro,1.0794
1/31/2001,Euro,1.0743
2/1/2001,Euro,1.0656
2/2/2001,Euro,1.0687
2/5/2001,Euro,1.0644
2/6/2001,Euro,1.0748
2/7/2001,Euro,1.0717
2/8/2001,Euro,1.0889
2/9/2001,Euro,1.0791
2/12/2001,Euro,1.0768
2/13/2001,Euro,1.0865
2/14/2001,Euro,1.0873
2/15/2001,Euro,1.1041
2/16/2001,Euro,1.0915
2/19/2001,Euro,
2/20/2001,Euro,1.0994
2/21/2001,Euro,1.1017
2/22/2001,Euro,1.1027
2/23/2001,Euro,1.0995
2/26/2001,Euro,1.0997
2/27/2001,Euro,1.0955
2/28/2001,Euro,1.0855
3/1/2001,Euro,1.0763
3/2/2001,Euro,1.0707
3/5/2001,Euro,1.0765
3/6/2001,Euro,1.0738
3/7/2001,Euro,1.0783
3/8/2001,Euro,1.0775
3/9/2001,Euro,1.0735
3/12/2001,Euro,1.0753
3/13/2001,Euro,1.0931
3/14/2001,Euro,1.0949
3/15/2001,Euro,1.1055
3/16/2001,Euro,1.1199
3/19/2001,Euro,1.113
3/20/2001,Euro,1.1045
3/21/2001,Euro,1.1148
3/22/2001,Euro,1.126
3/23/2001,Euro,1.1203
3/26/2001,Euro,1.1167
3/27/2001,Euro,1.1223
3/28/2001,Euro,1.1259
3/29/2001,Euro,1.1355
3/30/2001,Euro,1.1371
4/2/2001,Euro,1.1333
4/3/2001,Euro,1.1198
4/4/2001,Euro,1.1095
4/5/2001,Euro,1.1141
4/6/2001,Euro,1.1109
4/9/2001,Euro,1.1094
4/10/2001,Euro,1.1256
4/11/2001,Euro,1.1292
4/12/2001,Euro,1.1208
4/13/2001,Euro,1.1251
4/16/2001,Euro,1.1284
4/17/2001,Euro,1.1346
4/18/2001,Euro,1.1343
4/19/2001,Euro,1.1225
4/20/2001,Euro,1.1072
4/23/2001,Euro,1.1161
4/24/2001,Euro,1.1178
4/25/2001,Euro,1.1146
4/26/2001,Euro,1.1098
4/27/2001,Euro,1.1206
4/30/2001,Euro,1.1269
5/1/2001,Euro,1.1189
5/2/2001,Euro,1.1204
5/3/2001,Euro,1.1247
5/4/2001,Euro,1.1193
5/7/2001,Euro,1.1216
5/8/2001,Euro,1.1302
5/9/2001,Euro,1.1306
5/10/2001,Euro,1.1374
5/11/2001,Euro,1.1417
5/14/2001,Euro,1.1431
5/15/2001,Euro,1.1379
5/16/2001,Euro,1.131
5/17/2001,Euro,1.1328
5/18/2001,Euro,1.1397
5/21/2001,Euro,1.1413
5/22/2001,Euro,1.1551
5/23/2001,Euro,1.1631
5/24/2001,Euro,1.1669
5/25/2001,Euro,1.1659
5/28/2001,Euro,
5/29/2001,Euro,1.17
5/30/2001,Euro,1.166
5/31/2001,Euro,1.1827
6/1/2001,Euro,1.1832
6/4/2001,Euro,1.1836
6/5/2001,Euro,1.1759
6/6/2001,Euro,1.1832
6/7/2001,Euro,1.1756
6/8/2001,Euro,1.1758
6/11/2001,Euro,1.1869
6/12/2001,Euro,1.1794
6/13/2001,Euro,1.1715
6/14/2001,Euro,1.1631
6/15/2001,Euro,1.159
6/18/2001,Euro,1.1614
6/19/2001,Euro,1.1685
6/20/2001,Euro,1.1756
6/21/2001,Euro,1.1704
6/22/2001,Euro,1.1669
6/25/2001,Euro,1.1613
6/26/2001,Euro,1.1597
6/27/2001,Euro,1.16
6/28/2001,Euro,1.1806
6/29/2001,Euro,1.1801
7/2/2001,Euro,1.1827
7/3/2001,Euro,1.1797
7/4/2001,Euro,
7/5/2001,Euro,1.1947
